10000
-493997 /450988 +418775 *457713
*559404 -833620 +759671 /79388
*722745 -579102 +292010 /58992
+410838 -986199 /879952 *155063
-33106 *182290 +272420 /225234
*373309 -932483 +349256 /655037
*9683 +286215 /43969 -928322
*715659 -965710 /842998 +369230
/298718 *149149 -653069 +326271
+908375 -191927 /661964 *712345
/809405 +365677 -649991 *889126
*912160 +481516 /963537 -659567
*517124 /431797 +566545 -193661
-607701 /40189 *986483 +704041
/226428 -965170 +429275 *483415
-712874 *283250 /455049 +280122
/449934 *127529 +685734 -814156
+146288 *101223 /458473 -857655
-287913 *361280 /74738 +282506
+495205 *665026 /934649 -485454
/794086 -351209 *822387 +474957
/402513 +238192 -843829 *265358
/652230 +560653 *898327 -232305
-69306 /672522 +587956 *544293
/858423 *63053 -363853 +843932
/628419 -872069 +302714 *36338
/68360 -605752 +132153 *609407
*697623 /22106 -296243 +375416
-872968 +546041 /176196 *981202
+22743 *567711 -569150 /685198
*137186 /181723 +561556 -564563
-68098 *833329 +183439 /628537
/726214 -710701 +195168 *423257
-374526 *614045 /766949 +23854
+356010 /24134 -636379 *302569
+338388 *341775 /681917 -167932
*116324 /582990 +341933 -125218
+794352 -234344 /718540 *748464
+747628 *423453 -529705 /130110
+393614 *218150 /68247 -807699
/88920 -431832 *870423 +487707
-721359 /59962 *9020 +535078
-600645 +93398 *112370 /115210
/93403 *316831 -747370 +585604
+237262 *350226 -833625 /98847
-794427 +811921 *879651 /20656
+846748 /173038 -490719 *59901
-831774 /178913 *212732 +366357
/985213 *716559 +161217 -931702
+250749 -484898 /771601 *697861
/966975 +231487 *327855 -882802
-218246 /840099 +736343 *487629
+440591 -919696 /289277 *307952
/559053 -614674 *666871 +96946
*400556 +157019 /142847 -11722
+352771 /261854 *665413 -912260
/613880 +88649 -902152 *357693
/491680 *124036 +858949 -837579
/676118 *16143 +703475 -691497
/701417 -143747 +229387 *984713
/906707 -943751 *903442 +546609
/507207 *793818 +716715 -79986
+647601 *891937 -482090 /676520
*812250 -731913 /350532 +424696
*395491 +277644 -239753 /446402
-676195 +158108 *191809 /457461
*474809 +943503 /681474 -349045
+636690 /94201 -449872 *517484
-438517 /34964 *894953 +489659
+579606 /331520 -348375 *163218
/194332 +699202 -97955 *151982
*540868 +460537 -364753 /338786
-656527 /582028 *778322 +614929
*88792 -569917 +868072 /626370
/215060 +226735 -840347 *549369
+219758 /725540 *214231 -945124
-980923 +132367 *58361 /383643
/43603 -159083 +272331 *607377
*489138 /770472 +354458 -778773
/501846 +401856 *97870 -608140
+752530 *150366 /490674 -153158
-329217 *30178 /675092 +50716
/836636 +585112 *256442 -433411
*945768 /942514 +738422 -879830
+432585 -180829 *385248 /494240
*709179 /219022 +632195 -15482
/286300 -896424 +778678 *557890
*977830 -158526 +37849 /867086
-515414 /694389 +385768 *323583
+331616 *317129 -74455 /207578
+213694 /47505 *384028 -949560
/715810 *247496 +654699 -46071
+319913 *305224 /284668 -195622
/105762 +790541 *143589 -647855
+904057 /182162 -206985 *601867
*216364 /158102 -856354 +744830
-176651 +35165 *269091 /939835
-705661 /829390 *349257 +811366
+854599 -438970 /578317 *876592
/103817 +602478 -381061 *636633
+597959 *990790 -501306 /551211
/703512 *32060 -675259 +391922
/890140 -554755 *847446 +201971
-802157 /562829 +485672 *848974
-399284 *999592 /961146 +984279
+600439 /590368 -627268 *437808
-344323 +359056 /460754 *342735
-490324 /762988 +552071 *703924
*750142 +70422 /560360 -540290
*84666 -849533 /147263 +775786
-658993 +835812 *724898 /463038
*265948 /910640 -372256 +405937
-882306 *592357 /103669 +183827
-169582 *446707 +735589 /397957
+30732 -701790 /987969 *23783
/530239 +51968 -419349 *971273
*614162 +340845 /268148 -986468
/192600 *194882 -386061 +818416
-253040 *977653 /72483 +95318
/153729 -849451 *743148 +172647
+139128 *116029 /15804 -866284
/318568 -276816 *503341 +71589
-386356 *533357 /774016 +528574
/733487 *163221 +144756 -742012
/203658 +209828 *911761 -852579
-849101 *206634 /388198 +954431
+288008 /513146 *134699 -767680
-775037 +565854 *822353 /126320
*942638 /231452 +903785 -604867
+514259 -168869 /201825 *575450
/113125 *112318 +730135 -852474
/421078 +236614 -854295 *749589
*260482 +441116 /375398 -906881
+867135 -549272 *356488 /420784
+907896 /180994 *820637 -387602
-36082 +197661 *666559 /570492
-682866 *899934 /346138 +339165
/916108 +465207 *643953 -156555
-207212 *318801 /397786 +535465
-246758 /406901 +859395 *164177
-740784 /163074 *533639 +460760
/975224 *907898 -796359 +237650
*871502 /790394 +416983 -476877
-409231 *45082 +134954 /588945
/242774 -420942 +273434 *128184
+145235 *804208 /568543 -578866
/891791 *176247 -304637 +408752
*308034 -841626 +289658 /254457
/616203 *62383 -44422 +362313
*473988 /275868 +279218 -849865
-346686 *500402 +312115 /983450
+819451 *75883 /98598 -669207
-176507 /608238 +441689 *385866
/789578 *367804 -988411 +642615
-212694 *919885 /347077 +667307
*723237 +263115 -962177 /8514
-382402 *413867 +320367 /460732
*120239 -193200 /415069 +722948
+737981 /553338 -921830 *569263
*877044 -427448 /241507 +916662
*484961 +152907 /406697 -485279
*533565 +548842 /163528 -919888
+300445 -403823 *420747 /239223
+869059 -909263 /562576 *796962
+284118 /611063 -453184 *761589
-206136 *451600 +702740 /390304
+856111 -220127 *766877 /323409
+97754 -157827 *432612 /932013
*936841 -85295 +761003 /757327
-792279 /372975 *715470 +60934
+828852 -246664 *47746 /295656
*64850 /64444 -681581 +350894
+430048 *258233 -218982 /676819
/516095 +231142 *242181 -147467
*81017 -188017 +105630 /327373
*186193 /527281 -741799 +739596
/74976 *737749 +498645 -2111
*50777 /834050 -558249 +754172
+119522 -735249 /580414 *272381
+902289 -78802 *339995 /22469
*749351 +874361 -917519 /365019
*496874 /766444 -31874 +435216
-25894 +561272 /677129 *99682
*932303 /800490 +455579 -521773
*638254 +702120 /650091 -652534
-445566 /617358 *280432 +412565
*658579 /435729 +17285 -137974
/681209 +88477 -73548 *807064
-916203 *53958 /346246 +918465
-19354 /644706 +656003 *314404
/835864 +902554 -497548 *524701
-969587 /499798 +950664 *408128
-393078 *812122 /611483 +610786
/278716 -834080 +328671 *205666
*416216 +310369 -317667 /157437
-69444 *494596 /922073 +516533
*579551 +526954 -391872 /58070
*834238 /178579 +885102 -471050
*312726 /496016 +176979 -166812
/123977 -45494 *325493 +661014
*944673 +233648 /374888 -981576
+276314 /595061 *558676 -310207
*50639 -219176 /692364 +759455
*239780 -138518 +622511 /9746
+223853 *30904 /332856 -572269
-11496 +941697 *66669 /817548
-839702 +898425 /985636 *688665
/698991 +726207 -676612 *3435
+278978 *206594 /55902 -163753
+311245 -6800 /581159 *136649
*585786 /424640 -748083 +79388
+788422 /595694 -390340 *192007
/64306 *676413 +818807 -920464
/838360 -440440 *123802 +557434
+307297 /410614 -705959 *668031
/386239 -258627 +508742 *491916
/133344 -934089 +680408 *348043
/334838 +913804 -720730 *325125
/504755 +386760 *885778 -431026
+107820 -147871 *34574 /305710
*58606 +139018 /959999 -107327
/621236 -406529 +651632 *386732
-710259 /511921 *265209 +631086
-695424 *719759 +563092 /381118
+833367 -243414 *1470 /520813
-997843 +923352 /303420 *786112
+908388 -197198 /994363 *616928
+127367 /387862 -850485 *13484
/930675 +775225 -255368 *670897
-259920 +940641 *812986 /506856
-669585 +417340 /255601 *3100
+717116 /727981 -404731 *814811
+153686 *541677 /87790 -737757
+82806 /367304 -667903 *583094
+421116 -899460 /174094 *496493
-999083 +511674 /551337 *166452
+775361 *887854 /9300 -242325
+133135 -33008 *743400 /136865
+999616 -372447 /743722 *403818
/607639 -596181 +687166 *43277
/145756 *977 -17709 +811231
*194633 +617081 -387372 /276368
/727191 +684356 *474749 -995881
-605212 *709149 +263861 /707089
/307452 -560121 *978181 +907596
-71506 +795806 /206582 *848806
/196898 +34651 -492626 *264426
*889880 +621221 /890044 -414007
+732347 -88371 /149498 *127551
-955436 *386183 +579816 /340853
+415950 -186923 *14891 /574133
+307074 /850038 -487150 *361815
-489241 *702110 +673666 /240596
+419371 /822749 *920605 -360242
/ ... (truncated)
